country,year,status,life_expectancy,adult_mortality,infant_deaths,alcohol,hepatitis_b,under_five_deaths,polio,total_expenditure,diphtheria,hiv_aids,gdp,population,thinness_1_19_years,thinness_5_9_years,income_composition_of_resources,schooling
canada,2013,developing,81.8,67.0,2,8.2,55.0,2,91.0,1.67,91.0,0.1,52413.72116,35155451.0,0.5,0.5,0.909,15.9
australia,2010,developed,81.9,64.0,1,10.52,92.0,1,92.0,9.2,92.0,0.1,51874.848,223175.0,0.7,0.6,0.927,19.5
canada,2010,developing,81.2,7.0,2,8.4,56.0,2,88.0,11.2,89.0,0.1,47447.4762,345274.0,0.5,0.4,0.898,15.9
australia,2008,developed,81.3,66.0,1,10.76,94.0,1,92.0,8.78,92.0,0.1,49664.6854,212492.0,0.7,0.6,0.921,19.1
canada,2008,developing,87.0,74.0,2,8.3,28.0,2,89.0,1.3,92.0,0.1,46596.33599,33245773.0,0.5,0.4,0.897,15.8
austria,2014,developed,81.4,66.0,0,12.32,98.0,0,98.0,11.21,98.0,0.1,51322.63997,8541575.0,1.8,2.0,0.892,15.9
austria,2008,developed,84.0,76.0,0,12.0,83.0,0,83.0,1.6,83.0,0.1,51386.37665,8321496.0,1.7,1.9,0.864,15.1
germany,2008,developed,79.9,8.0,2,11.36,87.0,3,95.0,1.39,96.0,0.1,45699.19832,821197.0,1.1,1.1,0.903,16.6
austria,2011,developed,88.0,73.0,0,12.04,89.0,0,89.0,1.94,89.0,0.1,51126.74139,8391643.0,1.7,2.0,0.88,15.7
luxembourg,2000,developed,77.8,98.0,0,13.14,77.0,0,99.0,7.48,99.0,0.1,48735.99549,4363.0,1.0,1.0,0.848,13.5
austria,2009,developed,82.0,77.0,0,11.3,83.0,0,83.0,11.19,83.0,0.1,47654.18721,8343323.0,1.7,1.9,0.87,15.3
canada,2007,developing,85.0,74.0,2,8.3,14.0,2,9.0,9.83,94.0,0.1,44544.5268,32887928.0,0.5,0.4,0.894,15.8
austria,2012,developed,88.0,7.0,0,12.26,92.0,0,92.0,11.17,92.0,0.1,48333.57273,8429991.0,1.8,2.0,0.884,15.7
luxembourg,2001,developed,78.0,96.0,0,12.89,86.0,0,99.0,7.4,99.0,0.1,48179.4285,441525.0,1.0,1.0,0.854,13.4
germany,2007,developed,79.8,82.0,3,11.5,86.0,3,95.0,1.18,96.0,0.1,41814.8191,82266372.0,1.1,1.1,0.898,16.6
germany,2009,developed,80.0,79.0,2,11.22,88.0,3,95.0,11.4,96.0,0.1,41732.7725,819237.0,1.1,1.1,0.906,16.7
germany,2010,developed,81.0,76.0,2,11.2,88.0,3,94.0,11.25,95.0,0.1,41785.55691,8177693.0,1.1,1.1,0.907,16.7
austria,2007,developed,81.0,8.0,0,12.5,85.0,0,85.0,1.4,85.0,0.1,46586.6525,8295487.0,1.7,1.9,0.86,15.2
austria,2010,developed,84.0,75.0,0,12.1,86.0,0,86.0,11.17,86.0,0.1,46657.629,836344.0,1.7,1.9,0.872,15.4
belgium,2008,developed,79.5,87.0,0,10.47,98.0,1,99.0,9.6,99.0,0.1,48424.58927,179973.0,0.8,0.8,0.874,15.8
australia,2009,developed,81.7,66.0,1,10.62,94.0,1,92.0,9.5,92.0,0.1,42742.99898,216917.0,0.7,0.6,0.925,19.1
belgium,2014,developed,89.0,76.0,0,12.6,98.0,1,99.0,1.59,99.0,0.1,47439.39684,112957.0,1.0,1.0,0.89,16.3
france,2008,developing,89.0,88.0,3,11.9,47.0,3,98.0,1.57,98.0,0.1,45413.6571,6437499.0,0.6,0.6,0.877,16.1
france,2014,developing,82.2,79.0,3,11.5,83.0,3,98.0,11.54,98.0,0.1,42955.24287,66331957.0,0.6,0.6,0.89,16.2
france,2013,developing,82.0,81.0,3,11.1,74.0,3,99.0,11.56,99.0,0.1,42554.1225,6599857.0,0.6,0.6,0.887,16.2
france,2009,developing,81.1,88.0,3,11.8,51.0,3,98.0,11.28,98.0,0.1,41631.13141,647744.0,0.6,0.6,0.879,16.0
germany,2006,developed,79.6,84.0,3,11.76,87.0,3,94.0,1.34,96.0,0.1,36447.87232,82376451.0,1.1,1.1,0.892,16.5
canada,2005,developing,81.0,76.0,2,8.0,14.0,2,93.0,9.57,93.0,0.1,36189.58838,32312.0,0.5,0.4,0.886,15.8
australia,2006,developed,81.2,66.0,1,10.31,95.0,2,92.0,8.49,92.0,0.1,36118.28381,26979.0,0.7,0.6,0.915,20.3
germany,2005,developed,79.2,85.0,3,11.67,9.0,3,95.0,1.52,96.0,0.1,34696.6292,82469422.0,1.1,1.1,0.884,16.4
austria,2005,developed,79.4,85.0,0,12.4,86.0,0,86.0,1.53,86.0,0.1,38242.4252,8227829.0,1.7,1.9,0.848,14.9
germany,2004,developed,79.1,86.0,3,11.83,88.0,3,96.0,1.37,96.0,0.1,34165.9343,8251626.0,1.1,1.1,0.877,16.4
france,2006,developing,86.0,92.0,3,12.4,39.0,4,99.0,1.53,99.0,0.1,36544.5853,63621376.0,0.6,0.6,0.87,16.1
spain,2008,developed,81.3,7.0,2,10.24,97.0,2,97.0,8.8,97.0,0.1,35578.73619,4595416.0,0.6,0.5,0.854,16.1
belgium,2006,developed,79.4,85.0,0,10.98,94.0,1,99.0,9.17,98.0,0.1,38852.3613,1547958.0,0.8,0.8,0.865,15.7
canada,2004,developing,80.0,77.0,2,7.8,14.0,2,91.0,9.56,91.0,0.1,31979.87195,31995.0,0.5,0.4,0.881,15.8
france,2005,developing,81.0,93.0,3,12.2,35.0,4,98.0,1.6,98.0,0.1,34879.72633,63179356.0,0.6,0.6,0.86,15.5
italy,2011,developed,82.0,6.0,2,6.98,96.0,2,96.0,9.27,96.0,0.1,38334.68477,59379449.0,0.5,0.5,0.872,16.4
austria,2004,developed,79.3,86.0,0,12.1,83.0,0,83.0,1.56,83.0,0.1,36693.4262,8171966.0,1.7,1.9,0.841,14.7
france,2004,developing,82.0,94.0,3,13.18,35.0,4,99.0,1.53,98.0,0.1,33874.74255,6274897.0,0.6,0.6,0.857,15.5
italy,2009,developed,81.6,61.0,2,7.25,96.0,2,96.0,9.41,96.0,0.1,36976.84512,5995365.0,0.5,0.5,0.868,16.3
italy,2007,developed,81.3,63.0,2,8.37,97.0,2,97.0,8.48,97.0,0.1,37698.78573,5843831.0,0.5,0.5,0.862,16.1
italy,2010,developed,81.8,6.0,2,6.95,96.0,2,96.0,9.42,96.0,0.1,35849.37364,59277417.0,0.5,0.5,0.869,16.4
belgium,2004,developed,78.8,91.0,1,12.05,64.0,1,96.0,9.32,95.0,0.1,35589.71295,1421137.0,0.8,0.8,0.88,18.8
belgium,2005,developed,78.9,89.0,0,12.27,77.0,1,97.0,9.24,97.0,0.1,36967.28292,1478617.0,0.8,0.8,0.861,15.7
spain,2009,developed,81.6,66.0,2,9.99,96.0,2,96.0,9.52,96.0,0.1,32333.4661,46362946.0,0.6,0.5,0.858,16.3
spain,2011,developed,82.1,63.0,1,9.62,97.0,2,97.0,9.48,97.0,0.1,31834.21816,46742697.0,0.6,0.5,0.867,16.9
italy,2014,developed,82.5,57.0,2,7.56,95.0,2,95.0,9.25,95.0,0.1,35396.66517,678914.0,0.6,0.6,0.877,16.3
italy,2012,developed,82.0,6.0,2,7.49,96.0,2,96.0,9.28,97.0,0.1,34814.12436,59539717.0,0.5,0.6,0.877,16.6
canada,2003,developing,79.7,78.0,2,7.7,14.0,2,88.0,9.54,91.0,0.1,28172.14883,31676.0,0.5,0.4,0.877,15.8
france,2003,developing,79.3,99.0,3,13.49,28.0,4,96.0,1.43,97.0,0.1,29691.18158,62244884.0,0.6,0.6,0.852,15.4
italy,2005,developed,88.0,66.0,2,8.65,96.0,2,97.0,8.71,95.0,0.1,31959.26215,57969484.0,0.5,0.5,0.851,15.8
spain,2006,developed,88.0,73.0,2,11.86,97.0,2,98.0,8.23,98.0,0.1,28482.6948,44397319.0,0.6,0.5,0.844,15.9
israel,2014,developing,82.2,6.0,1,2.62,97.0,1,95.0,7.81,95.0,0.1,37582.84624,82157.0,1.2,1.1,0.895,16.0
israel,2013,developing,82.1,61.0,1,2.69,97.0,1,96.0,7.89,96.0,0.1,36393.66932,8595.0,1.2,1.1,0.891,15.9
italy,2004,developed,89.0,66.0,2,8.98,96.0,3,97.0,8.49,94.0,0.1,31174.56118,57685327.0,0.5,0.5,0.846,15.6
spain,2012,developed,82.0,61.0,1,9.35,96.0,2,97.0,9.39,97.0,0.1,28562.29324,4677355.0,0.6,0.5,0.871,17.2
germany,2000,developed,78.0,95.0,3,12.91,84.0,4,94.0,1.1,9.0,0.1,23718.7467,8221158.0,1.2,1.2,0.855,16.2
germany,2001,developed,78.3,92.0,3,12.46,86.0,4,96.0,1.15,93.0,0.1,23687.31689,82349925.0,1.2,1.1,0.86,16.2
austria,2002,developed,78.7,9.0,0,12.5,81.0,0,82.0,1.27,83.0,0.1,26351.37568,881957.0,1.7,1.9,0.847,16.1
canada,2002,developing,79.5,79.0,2,7.7,14.0,2,88.0,9.37,88.0,0.1,24167.8431,31362.0,0.5,0.4,0.872,15.8
israel,2012,developing,81.8,6.0,1,2.78,97.0,1,94.0,7.73,94.0,0.1,32569.59683,7915.0,1.2,1.1,0.889,15.9
australia,2003,developed,83.0,71.0,1,9.97,95.0,1,92.0,8.32,93.0,0.1,23465.38559,198954.0,0.7,0.7,0.905,20.6
israel,2011,developing,81.8,61.0,1,2.67,98.0,1,94.0,7.39,94.0,0.1,33657.15727,77658.0,1.2,1.1,0.883,15.8
canada,2000,developing,79.1,82.0,2,7.6,14.0,2,88.0,8.67,89.0,0.1,24124.16917,37697.0,0.5,0.5,0.864,15.9
france,2002,developing,79.2,11.0,3,13.78,29.0,4,97.0,1.22,97.0,0.1,24275.2426,6185267.0,0.7,0.6,0.851,15.5
spain,2004,developed,81.0,79.0,2,11.96,97.0,2,97.0,8.5,97.0,0.1,24918.64584,42921895.0,0.6,0.5,0.833,15.6
greece,2008,developing,79.9,77.0,0,9.51,95.0,0,99.0,9.76,99.0,0.1,31997.2821,1177841.0,0.8,0.7,0.853,15.9
canada,2001,developing,79.4,8.0,2,7.6,14.0,2,88.0,9.1,89.0,0.1,23691.59472,31819.0,0.5,0.4,0.867,15.8
portugal,2008,developed,79.0,92.0,0,12.35,97.0,0,97.0,9.9,97.0,0.1,24815.6884,1558177.0,0.7,0.5,0.804,15.8
greece,2007,developing,79.4,8.0,0,9.67,95.0,0,99.0,9.41,99.0,0.1,28827.32636,1148473.0,0.8,0.7,0.855,16.4
malta,2011,developed,87.0,59.0,0,6.91,82.0,0,96.0,9.6,96.0,0.1,22821.847,416268.0,0.8,0.7,0.826,14.8
austria,2001,developed,78.6,92.0,0,12.4,44.0,0,83.0,1.12,84.0,0.1,24489.73553,842293.0,1.7,1.9,0.837,15.5
austria,2000,developed,78.1,96.0,0,13.2,33.0,0,71.0,1.6,81.0,0.1,24517.26745,811566.0,1.7,1.9,0.833,15.4
italy,2003,developed,79.9,72.0,2,9.3,95.0,3,97.0,8.17,96.0,0.1,27387.2258,5731323.0,0.5,0.5,0.841,15.4
france,2001,developing,79.0,13.0,3,13.89,28.0,4,98.0,9.89,97.0,0.1,22527.31775,61357431.0,0.7,0.6,0.849,15.6
france,2000,developing,78.8,13.0,3,13.63,26.0,4,98.0,9.77,97.0,0.1,22465.64184,6912498.0,0.7,0.6,0.844,15.7
spain,2003,developed,79.4,83.0,2,12.09,81.0,2,99.0,7.99,98.0,0.1,21495.7741,42187645.0,0.6,0.5,0.83,15.6
greece,2011,developing,85.0,76.0,0,8.02,95.0,0,99.0,9.77,99.0,0.1,25916.29353,1114899.0,0.8,0.7,0.86,16.7
greece,2010,developing,83.0,76.0,0,9.0,95.0,0,99.0,9.18,99.0,0.1,26917.75898,11121341.0,0.8,0.7,0.859,16.4
portugal,2010,developed,79.6,88.0,0,12.25,97.0,0,97.0,1.44,98.0,0.1,22538.6548,15731.0,0.7,0.5,0.812,16.0
portugal,2011,developed,82.0,85.0,0,11.92,97.0,0,97.0,1.7,97.0,0.1,23196.18375,155756.0,0.7,0.5,0.818,16.2
australia,2001,developed,79.9,75.0,1,9.53,94.0,2,91.0,8.18,92.0,0.1,19517.84168,19413.0,0.7,0.7,0.899,20.5
belgium,2001,developed,78.0,1.0,1,11.01,6.0,1,96.0,8.29,95.0,0.1,23121.56635,128657.0,0.8,0.8,0.873,18.2
portugal,2006,developed,78.5,96.0,0,13.11,97.0,0,97.0,9.67,97.0,0.1,19821.44463,1522288.0,0.7,0.5,0.793,15.4
italy,2002,developed,80.0,72.0,2,9.25,95.0,3,96.0,8.23,93.0,0.1,22196.5736,57597.0,0.5,0.5,0.836,15.2
portugal,2005,developed,77.7,11.0,0,13.33,94.0,1,93.0,9.98,93.0,0.1,18784.9485,15333.0,0.7,0.6,0.79,15.4
greece,2005,developing,79.3,81.0,0,9.95,93.0,1,96.0,9.36,96.0,0.1,22551.73574,1987314.0,0.8,0.7,0.839,15.6
estonia,2014,developing,77.3,122.0,0,0.01,93.0,0,93.0,6.38,93.0,0.1,19941.45532,1314545.0,1.9,1.9,0.86,16.5
portugal,2013,developed,86.0,79.0,0,10.0,98.0,0,98.0,9.55,98.0,0.1,21618.73534,1457295.0,0.7,0.5,0.827,16.3
malta,2008,developed,80.0,64.0,0,7.14,86.0,0,72.0,8.15,72.0,0.1,21928.767,49379.0,0.7,0.7,0.813,14.6
malta,2007,developed,79.6,65.0,0,7.45,82.0,0,76.0,8.36,74.0,0.1,19375.5696,46724.0,0.7,0.7,0.808,14.4
costa rica,2012,developing,79.2,97.0,1,3.34,91.0,1,9.0,9.56,91.0,0.1,9985.36959,4654122.0,1.8,1.7,0.758,13.6
greece,2012,developing,84.0,76.0,0,8.2,98.0,0,99.0,9.24,99.0,0.1,22242.68193,114511.0,0.8,0.7,0.858,16.8
cyprus,2011,developed,79.7,57.0,0,10.69,96.0,0,99.0,7.54,99.0,0.1,32233.83942,1124835.0,0.9,1.0,0.847,13.8
costa rica,2011,developing,79.0,98.0,1,3.41,84.0,1,82.0,9.73,85.0,0.1,9186.59639,46474.0,1.8,1.7,0.752,13.4
malta,2006,developed,79.3,66.0,0,8.84,86.0,0,83.0,8.93,85.0,0.1,16671.5672,4538.0,0.7,0.7,0.809,14.8
costa rica,2010,developing,78.1,16.0,1,3.58,89.0,1,93.0,9.66,88.0,0.1,8199.414621,454528.0,1.8,1.8,0.749,13.3
uruguay,2010,developing,76.3,118.0,0,6.21,95.0,1,95.0,8.63,95.0,0.1,11938.212,3374415.0,1.5,1.5,0.777,15.6
luxembourg,2012,developed,81.1,7.0,0,11.34,94.0,0,99.0,7.18,99.0,0.1,16749.136,53946.0,0.9,0.9,0.892,13.9
portugal,2003,developed,77.3,15.0,0,14.21,94.0,1,96.0,9.54,99.0,0.1,15772.7334,1458821.0,0.7,0.6,0.789,15.8
luxembourg,2010,developed,86.0,73.0,0,11.36,94.0,0,96.0,7.68,99.0,0.1,14965.361,56953.0,0.9,0.9,0.884,13.7
estonia,2012,developing,76.3,135.0,0,0.01,94.0,0,94.0,6.36,94.0,0.1,17421.8922,1322696.0,1.9,1.9,0.85,16.5
malta,2005,developed,79.0,67.0,0,6.41,85.0,0,94.0,8.83,92.0,0.1,15835.34667,43834.0,0.7,0.7,0.805,14.8
lithuania,2014,developed,73.4,169.0,0,15.19,94.0,0,93.0,6.55,93.0,0.1,16554.97139,2932367.0,2.6,2.7,0.841,16.5
greece,2013,developing,86.0,74.0,0,7.46,98.0,0,99.0,9.26,99.0,0.1,21874.8195,1965211.0,0.8,0.7,0.86,17.1
greece,2014,developing,88.0,73.0,0,7.53,96.0,0,99.0,8.8,99.0,0.1,21673.7817,1892413.0,0.8,0.7,0.862,17.2
cyprus,2012,developed,80.0,56.0,0,10.55,96.0,0,99.0,7.44,99.0,0.1,28951.15556,113562.0,0.9,1.0,0.85,13.8
estonia,2011,developing,76.1,138.0,0,0.01,94.0,0,93.0,5.83,93.0,0.1,17454.84342,1327439.0,1.9,2.0,0.838,16.4
greece,2003,developing,79.1,81.0,0,9.46,92.0,1,93.0,8.61,94.0,0.1,18477.57841,19287.0,0.8,0.8,0.823,15.2
luxembourg,2009,developed,83.0,76.0,0,11.42,95.0,0,96.0,8.11,99.0,0.1,13198.6693,497783.0,0.9,0.9,0.888,13.5
maldives,2014,developing,78.2,62.0,0,0.01,99.0,0,99.0,13.73,99.0,0.1,7716.2415,41.0,13.6,13.7,0.693,12.7
spain,2001,developed,79.4,84.0,2,9.86,83.0,2,95.0,7.24,96.0,0.1,15323.6114,485412.0,0.6,0.5,0.825,15.7
lithuania,2013,developed,73.0,178.0,0,15.04,93.0,0,93.0,6.59,93.0,0.1,15712.82376,2957689.0,2.7,2.7,0.834,16.4
cyprus,2007,developed,78.9,63.0,0,11.56,93.0,0,97.0,6.5,97.0,0.1,31386.63265,163712.0,0.9,1.0,0.836,13.5
spain,2000,developed,79.1,86.0,2,11.12,77.0,2,95.0,7.21,95.0,0.1,14676.769,4567864.0,0.6,0.5,0.82,15.7
estonia,2007,developing,73.0,189.0,0,17.87,95.0,0,95.0,5.16,95.0,0.1,16586.452,13468.0,2.0,2.1,0.829,16.1
portugal,2002,developed,77.2,17.0,1,12.0,82.0,1,96.0,9.15,98.0,0.1,12882.28897,1419631.0,0.8,0.6,0.788,15.9
trinidad and tobago,2008,developing,69.9,185.0,0,6.41,9.0,0,91.0,4.4,9.0,0.3,21188.11857,1315372.0,6.1,6.4,0.767,12.4
israel,2004,developing,81.0,69.0,1,2.23,99.0,1,95.0,7.35,95.0,0.1,19888.172,689.0,1.1,1.1,0.863,15.9
lithuania,2008,developed,71.1,224.0,0,13.3,96.0,0,96.0,6.61,96.0,0.1,14961.56818,3198231.0,2.9,2.9,0.82,16.5
uruguay,2009,developing,76.6,118.0,0,6.67,95.0,1,95.0,8.78,95.0,0.1,9415.17386,3362755.0,1.5,1.5,0.774,15.5
costa rica,2008,developing,78.9,99.0,1,4.22,89.0,1,89.0,9.1,9.0,0.1,6911.136136,442958.0,1.9,1.8,0.74,12.9
panama,2014,developing,77.6,119.0,1,6.74,8.0,1,8.0,8.3,8.0,0.1,12593.7374,393986.0,1.9,1.8,0.78,13.0
lithuania,2012,developed,73.0,176.0,0,15.14,93.0,0,93.0,6.67,93.0,0.1,14341.836,2987773.0,2.7,2.7,0.83,16.5
estonia,2010,developing,75.6,137.0,0,14.97,94.0,0,94.0,6.25,94.0,0.1,14638.6482,1331475.0,1.9,2.0,0.833,16.2
lithuania,2011,developed,72.8,18.0,0,12.66,95.0,0,92.0,6.86,92.0,0.1,14357.73679,328115.0,2.7,2.8,0.826,16.7
israel,2003,developing,79.7,71.0,1,2.32,98.0,1,93.0,7.44,93.0,0.1,18946.99942,66897.0,1.1,1.1,0.863,16.0
estonia,2009,developing,74.9,156.0,0,15.04,95.0,0,95.0,6.93,95.0,0.1,14726.31828,1334515.0,2.0,2.0,0.836,16.1
uruguay,2006,developing,76.2,117.0,1,6.58,95.0,1,95.0,11.17,95.0,0.1,5877.87678,333143.0,1.6,1.6,0.756,15.2
israel,2002,developing,79.3,74.0,1,2.47,98.0,1,91.0,7.49,9.0,0.1,18431.15696,657.0,1.1,1.1,0.855,15.3
cyprus,2006,developed,78.8,64.0,0,11.47,93.0,0,97.0,6.28,97.0,0.1,27169.99256,14559.0,0.9,1.0,0.829,13.4
panama,2013,developing,77.5,118.0,1,6.89,8.0,1,81.0,8.9,8.0,0.1,11685.97983,3838462.0,1.9,1.9,0.773,12.9
malta,2003,developed,78.5,71.0,0,6.7,89.0,0,94.0,8.6,94.0,0.1,13689.98999,398582.0,0.7,0.7,0.79,13.8
portugal,2001,developed,76.9,11.0,1,12.22,7.0,1,96.0,9.1,97.0,0.1,11729.14616,1362722.0,0.8,0.6,0.782,15.7
maldives,2013,developing,77.9,64.0,0,0.01,99.0,0,99.0,11.16,99.0,0.1,7112.33575,393.0,13.7,13.8,0.683,12.4
cyprus,2004,developed,78.6,65.0,0,13.03,88.0,0,98.0,6.42,98.0,0.1,23932.49128,1141.0,0.9,1.0,0.823,13.4
lithuania,2007,developed,72.0,24.0,0,13.4,96.0,0,95.0,6.22,95.0,0.1,12297.91535,3231294.0,2.9,3.0,0.812,16.4
trinidad and tobago,2014,developing,71.1,171.0,0,6.94,92.0,0,94.0,5.93,92.0,0.3,19325.24283,1354493.0,5.8,6.0,0.778,12.7
cyprus,2005,developed,78.7,65.0,0,11.41,88.0,0,98.0,6.37,98.0,0.1,25324.48666,127658.0,0.9,1.0,0.826,13.5
malta,2002,developed,78.2,75.0,0,5.73,89.0,0,95.0,7.86,95.0,0.1,11843.9392,395969.0,0.7,0.7,0.786,13.8
latvia,2014,developed,74.4,156.0,0,0.01,92.0,0,92.0,5.88,92.0,0.1,15725.1374,1993782.0,2.2,2.2,0.822,16.0
russian federation,2013,developing,70.0,229.0,14,10.58,97.0,16,98.0,7.9,97.0,0.2,15543.67653,14356911.0,2.3,2.3,0.799,14.6
seychelles,2013,developing,72.9,172.0,0,0.01,99.0,0,98.0,3.58,98.0,0.1,15687.34795,89949.0,5.7,6.1,0.762,13.5
argentina,2011,developing,75.7,12.0,9,8.11,91.0,10,93.0,5.89,91.0,0.1,12726.9836,41656879.0,1.0,0.9,0.816,17.1
colombia,2012,developing,74.3,143.0,11,4.44,92.0,13,91.0,6.93,91.0,0.1,7884.984429,46881475.0,2.1,1.9,0.707,13.2
trinidad and tobago,2012,developing,78.0,174.0,0,6.7,92.0,0,91.0,5.78,92.0,0.4,19152.531,1341588.0,5.9,6.1,0.772,12.6
lithuania,2009,developed,72.2,192.0,0,12.4,95.0,0,98.0,7.53,98.0,0.1,11837.3913,3162916.0,2.8,2.9,0.825,16.6
colombia,2014,developing,74.6,144.0,11,4.38,9.0,12,9.0,7.2,9.0,0.1,7913.383432,47791911.0,2.1,1.9,0.72,13.6
lithuania,2010,developed,72.4,188.0,0,12.9,94.0,0,95.0,7.9,95.0,0.1,11984.86857,397282.0,2.8,2.8,0.824,16.8
argentina,2008,developing,75.4,126.0,10,8.41,9.0,11,94.0,6.66,93.0,0.1,8953.359275,4382389.0,1.0,0.9,0.792,16.3
greece,2001,developing,78.7,83.0,1,8.62,9.0,1,9.0,8.47,91.0,0.1,12538.17883,1862132.0,0.9,0.8,0.801,14.2
argentina,2009,developing,75.6,126.0,10,8.33,94.0,11,97.0,7.63,94.0,0.1,8161.36966,479947.0,1.0,0.9,0.794,16.5
trinidad and tobago,2010,developing,74.0,179.0,0,6.5,9.0,0,91.0,5.29,9.0,0.4,16683.94578,13281.0,5.9,6.3,0.772,12.5
latvia,2012,developed,73.8,163.0,0,10.21,9.0,0,91.0,5.91,91.0,0.1,13822.8559,234319.0,2.2,2.2,0.812,15.5
argentina,2000,developing,74.1,137.0,12,7.68,66.0,14,88.0,9.21,83.0,0.1,7669.273916,3757452.0,1.2,1.1,0.764,15.0
luxembourg,2005,developed,78.8,9.0,0,11.84,95.0,0,99.0,7.95,99.0,0.1,8289.69641,465158.0,1.0,0.9,0.874,13.5
russian federation,2014,developing,73.0,225.0,13,10.12,97.0,15,97.0,7.7,97.0,0.1,14125.961,143819666.0,2.3,2.3,0.803,14.9
poland,2009,developed,75.7,136.0,2,10.7,98.0,3,96.0,7.12,99.0,0.1,11527.59323,3815163.0,2.1,2.3,0.818,15.1
turkey,2011,developing,74.5,114.0,20,1.53,96.0,23,97.0,5.29,97.0,0.1,11341.13395,7349455.0,4.9,4.7,0.737,13.8
maldives,2012,developing,77.6,65.0,0,0.01,99.0,0,99.0,9.16,99.0,0.1,6541.7465,385.0,13.8,13.9,0.675,12.1
romania,2013,developed,74.6,138.0,2,9.59,96.0,2,88.0,5.6,92.0,0.1,9585.266593,19983693.0,2.7,2.9,0.794,14.7
panama,2010,developing,76.5,122.0,1,6.94,94.0,2,95.0,8.5,94.0,0.1,7937.259931,3643222.0,2.0,1.9,0.756,12.8
trinidad and tobago,2005,developing,69.5,189.0,0,6.12,95.0,0,95.0,5.31,95.0,0.5,12323.1275,1296934.0,6.3,6.7,0.745,12.3
costa rica,2006,developing,78.0,16.0,1,4.15,88.0,1,89.0,7.82,89.0,0.1,5245.187372,438794.0,2.0,1.9,0.727,12.6
belarus,2014,developing,72.0,199.0,0,13.94,97.0,0,97.0,5.69,97.0,0.1,8318.429294,9474511.0,1.9,2.0,0.796,15.7
latvia,2009,developed,72.6,184.0,0,9.85,92.0,0,94.0,6.84,94.0,0.1,12219.37379,2141669.0,2.3,2.3,0.821,16.4
argentina,2012,developing,75.9,12.0,9,8.35,91.0,10,99.0,5.2,91.0,0.1,12969.7712,4296739.0,1.0,0.9,0.822,17.2
cyprus,2002,developed,78.4,68.0,0,11.68,88.0,0,98.0,6.12,98.0,0.1,16372.29152,976966.0,0.9,1.0,0.805,12.5
seychelles,2011,developing,72.6,177.0,0,9.72,99.0,0,99.0,3.38,99.0,0.1,12189.9516,87441.0,5.7,6.1,0.744,13.3
mexico,2011,developing,76.1,124.0,34,5.3,98.0,39,97.0,6.4,97.0,0.1,9834.472689,119917.0,1.6,1.6,0.745,12.6
brazil,2010,developing,73.8,154.0,54,7.52,96.0,61,99.0,8.27,99.0,0.1,11224.1548,196796269.0,2.9,2.9,0.716,13.8
latvia,2010,developed,72.8,18.0,0,9.8,91.0,0,92.0,6.55,92.0,0.1,11326.21947,297555.0,2.2,2.3,0.815,16.0
belarus,2013,developing,71.7,23.0,0,14.66,98.0,1,98.0,6.7,98.0,0.1,7978.825443,9465997.0,2.0,2.0,0.796,15.7
argentina,2007,developing,74.8,129.0,10,8.16,85.0,12,92.0,6.49,91.0,0.1,7193.61764,3997224.0,1.1,0.9,0.788,16.3
latvia,2006,developed,75.0,229.0,0,10.4,94.0,0,96.0,6.8,96.0,0.1,9667.9757,2218357.0,2.4,2.5,0.807,16.2
